time,open,high,low,close,volume,spread,real_volume
2025-10-30 12:45:00,3982.26,3984.16,3979.67,3982.0,405,16,0
2025-10-30 12:50:00,3982.09,3987.18,3981.13,3985.92,416,16,0
2025-10-30 12:55:00,3985.87,3986.5,3982.08,3984.26,388,14,0
2025-10-30 13:00:00,3984.31,3984.88,3981.25,3982.54,403,17,0
2025-10-30 13:05:00,3982.04,3983.18,3978.73,3978.74,419,16,0
2025-10-30 13:10:00,3978.91,3981.69,3976.88,3977.2,414,5,0
2025-10-30 13:15:00,3977.1,3977.7,3971.54,3971.86,449,6,0
2025-10-30 13:20:00,3972.02,3972.67,3963.78,3970.71,449,16,0
2025-10-30 13:25:00,3970.84,3970.87,3965.23,3965.94,413,6,0
2025-10-30 13:30:00,3965.64,3972.43,3965.22,3972.06,428,16,0
2025-10-30 13:35:00,3972.1,3976.42,3971.43,3973.22,416,16,0
2025-10-30 13:40:00,3973.25,3973.8,3969.96,3973.34,386,16,0
2025-10-30 13:45:00,3973.31,3976.2,3971.26,3973.18,379,5,0
2025-10-30 13:50:00,3973.18,3973.99,3971.0,3973.12,351,16,0
2025-10-30 13:55:00,3973.12,3976.5,3972.77,3974.35,363,16,0
2025-10-30 14:00:00,3974.45,3982.13,3973.6,3978.25,441,10,0
2025-10-30 14:05:00,3978.74,3981.72,3978.15,3979.42,382,17,0
2025-10-30 14:10:00,3979.61,3982.65,3973.84,3982.26,413,13,0
2025-10-30 14:15:00,3982.28,3985.04,3979.99,3980.44,429,17,0
2025-10-30 14:20:00,3980.5,3984.49,3977.56,3977.85,427,7,0
2025-10-30 14:25:00,3978.49,3980.54,3970.93,3970.93,426,17,0
2025-10-30 14:30:00,3970.86,3974.7,3966.88,3971.61,470,16,0
2025-10-30 14:35:00,3971.74,3979.41,3971.53,3976.79,442,12,0
2025-10-30 14:40:00,3976.64,3980.17,3976.16,3977.21,416,16,0
2025-10-30 14:45:00,3976.4,3978.84,3967.38,3967.38,453,16,0
2025-10-30 14:50:00,3967.47,3974.2,3966.99,3972.32,424,5,0
2025-10-30 14:55:00,3972.05,3973.38,3960.84,3961.47,461,8,0
2025-10-30 15:00:00,3961.64,3975.68,3959.93,3974.3,481,8,0
2025-10-30 15:05:00,3974.49,3976.88,3970.87,3972.42,454,16,0
