time,close,signal,position,strategy_returns,osc,heat_zone,wma,cumulative
2025-10-27 07:30:00,4079.92,sell,0.0,0.000783939048738916,-34.98904821416164,-2.0,4087.5713000963283,7.445632370512305
2025-10-27 07:45:00,4079.64,sell,0.0,0.0007843291044922003,-33.32523642797423,-2.0,4086.906834405011,7.451472196681848
2025-10-27 08:00:00,4079.63,sell,-0.6666666666666667,0.00013236462040765892,-28.929369473347826,-2.0,4085.8964196509914,7.45245850797064
2025-10-27 08:15:00,4082.03,hold,0.0,0.0002091687828664205,-16.4770736287944,-2.0,4085.588009848181,7.454017329646115
2025-10-27 08:30:00,4079.89,sell,-0.33333333333333337,0.0005013845235500018,-23.6778667030798,-2.0,4084.9984997411893,7.457754658573473
2025-10-27 08:45:00,4078.29,hold,0.0,0.0002613078950097393,-27.426589843389596,-2.0,4084.2046538060863,7.459703428744803
2025-10-27 09:00:00,4071.59,sell,0.0,0.0007846425830433388,-52.23613798284129,-2.0,4082.8070837981595,7.465556629711871
2025-10-27 09:15:00,4068.37,sell,0.0,0.0007859337506968575,-64.13982084888805,-2.0,4082.1308778640246,7.4714240626349
2025-10-27 09:30:00,4070.55,sell,-0.6666666666666667,-0.00022613479108341358,-52.36968901596017,-2.0,4081.7372129675896,7.4697345137154
2025-10-27 09:45:00,4068.6,hold,0.0,0.00052437053004845,-60.31741626511716,-2.0,4081.485187414803,7.4736514223616775
2025-10-27 10:00:00,4066.65,sell,0.0,0.0007865113306788129,-68.53369239372509,-2.0,4081.2387670998523,7.479529533886909
2025-10-27 10:15:00,4058.55,sell,0.0,0.000786888470854344,-100.75524545205248,-2.0,4080.0623532117133,7.4854150894445395
2025-10-27 10:30:00,4058.95,sell,0.0,-0.0004927868327358292,-96.12284443654181,-2.0,4079.4476198390257,7.4817263754509
2025-10-27 10:45:00,4043.49,sell,0.0,0.0007883812315992605,-155.38475553548437,-2.0,4077.037879489622,7.4876248281052655
2025-10-27 11:00:00,4036.47,sell,0.0,0.0007913955518623314,-179.85532798717398,-2.0,4075.4421316002285,7.493550501088242
2025-10-27 11:15:00,4037.58,sell,-0.33333333333333337,0.00023865737471928753,-170.84570206647766,-2.0,4074.6477085945553,7.495338892178158
2025-10-27 11:30:00,4042.97,hold,0.0,0.0001585543804363774,-140.5089618754898,-2.0,4073.57650512949,7.496527310992368
2025-10-27 11:45:00,4039.7,sell,0.0,0.0007914973398268645,-153.11801216460825,-2.0,4073.1261214095703,7.502460792416958
2025-10-27 12:00:00,4043.56,sell,-0.33333333333333337,1.1552012938213232e-05,-127.71735700645857,-2.0,4071.4115794771124,7.5025474609411
2025-10-27 12:15:00,4036.01,hold,0.0,0.0002640460100172306,-154.78833024931626,-2.0,4069.8024595300494,7.504528478663127
2025-10-27 12:30:00,4041.53,sell,0.0,0.0007928622575265715,-121.48731894686712,-2.0,4068.192578914631,7.510478536054392
2025-10-27 12:45:00,4037.43,sell,0.0,0.0007917793508893458,-131.8379834894936,-2.0,4066.3899269672524,7.516425177874537
2025-10-27 13:00:00,4030.43,sell,0.0,0.0007925834008267185,-155.027773947028,-2.0,4064.655636682059,7.522382571704076
2025-10-27 13:15:00,4030.43,sell,-0.33333333333333337,0.0003308166457011617,-154.96351367617913,-2.0,4064.5625734493424,7.524871101074129
2025-10-27 13:30:00,4020.68,hold,0.0,0.00026465331656091437,-190.8518087868086,-2.0,4062.7500367663024,7.526862583167722
2025-10-27 13:45:00,4023.98,sell,0.0,-0.0004974282957111733,-172.87742336600004,-2.0,4061.8342778847596,7.523118508740924
