time,open,high,low,close,tick_volume,spread,real_volume,rsi,atr,volatility_ratio,signal,momentum,position_size,stop_loss,take_profit,returns,position,strategy_returns,cumulative
2025-08-07 17:00:00,3384.6,3390.09,3375.39,3390.09,1414,5,0,62.23923444976052,5.824000000000069,1.1883289124668543,buy,BULLISH,1.0,3381.3540000000003,3407.5620000000004,0.0015480745084717196,1,0.0015480745084717196,1.6094426624939238
2025-08-07 17:15:00,3390.06,3390.31,3379.7,3382.1,1379,10,0,58.24825362708212,6.121500000000083,1.2103566909206083,hold,NEUTRAL,1.0,,,-0.002356869581633614,1,-0.002356869581633614,1.6056494160393084
2025-08-07 17:30:00,3382.1,3389.16,3380.72,3387.21,1315,8,0,56.63255813953487,6.281500000000074,1.2197087378640878,buy,BULLISH,1.0,3377.78775,3406.0545,0.0015108955974099114,1,0.0015108955974099114,1.608075384672986
2025-08-07 17:45:00,3387.26,3389.38,3385.66,3387.7,1191,10,0,55.591541245951426,6.26200000000008,1.2144131564657616,hold,NEUTRAL,1.0,,,0.00014466183082828543,1,0.00014466183082828543,1.6083080118022428
2025-08-07 18:00:00,3387.77,3390.04,3386.79,3389.28,1178,15,0,59.925969218780246,6.272000000000071,1.2169188979433532,buy,BULLISH,1.0,3379.8720000000003,3408.0960000000005,0.00046639312808105515,1,0.00046639312808105515,1.6090581156067851
2025-08-07 18:15:00,3389.39,3390.26,3384.56,3385.97,1141,10,0,57.22790697674399,6.343000000000075,1.2136461043930886,hold,NEUTRAL,1.0,,,-0.000976608601236939,1,-0.000976608601236939,1.6074866956111935
2025-08-07 18:30:00,3386.26,3388.64,3385.22,3386.07,963,13,0,59.277756434882804,6.330000000000086,1.2084303768470173,buy,BULLISH,1.0,3376.575,3405.0600000000004,2.9533634379630413e-05,1,2.9533634379630413e-05,1.6075341705355317
2025-08-07 18:45:00,3386.05,3390.62,3385.95,3390.15,992,8,0,58.85891713564897,6.289000000000078,1.1876345507421602,buy,BULLISH,1.0,3380.7165,3409.0170000000003,0.001204936696524328,1,0.001204936696524328,1.6094711474485268
2025-08-07 19:00:00,3390.21,3392.61,3390.1,3390.74,1039,14,0,55.925155925155586,5.997500000000082,1.1314329912466123,buy,BULLISH,1.0,3381.7437499999996,3408.7325,0.0001740335973332563,1,0.0001740335973332563,1.6097512495021213
2025-08-07 19:15:00,3390.82,3391.53,3389.34,3389.7,886,12,0,59.89757292362462,5.89950000000008,1.115723579695901,buy,BULLISH,1.0,3380.8507499999996,3407.3985000000002,-0.00030671770763901485,1,-0.00030671770763901485,1.609257510289005
2025-08-07 19:30:00,3389.71,3390.23,3387.15,3388.41,899,15,0,54.49186512614929,5.689000000000078,1.0740852622437111,buy,BULLISH,1.0,3379.8765,3405.477,-0.0003805646517390793,1,-0.0003805646517390793,1.6086450837650434
2025-08-07 19:45:00,3388.41,3390.05,3388.01,3388.83,788,16,0,52.89236026360731,5.649000000000069,1.0713472917614992,buy,BULLISH,1.0,3380.3565,3405.777,0.00012395194206127336,1,0.00012395194206127336,1.6088444784472635
2025-08-07 20:00:00,3388.77,3388.97,3384.87,3385.61,989,14,0,43.88238225766293,5.5990000000000695,1.0529978184006674,sell,BEARISH,1.0,3394.0085000000004,3368.813,-0.0009501804457584528,-1,0.0009501804457584528,1.6103731710109503
2025-08-07 20:15:00,3385.48,3389.16,3384.37,3388.93,1062,5,0,55.39968237162501,5.56050000000007,1.0379876796714627,hold,NEUTRAL,1.0,,,0.0009806209220788453,-1,-0.0009806209220788453,1.6087940053871026
2025-08-07 20:30:00,3388.93,3392.13,3388.03,3391.68,914,16,0,52.25276282232881,5.334500000000071,0.9939074377701638,buy,BULLISH,1.0,3383.67825,3407.6835,0.0008114655658275627,1,0.0008114655658275627,1.610099486324984
2025-08-07 20:45:00,3391.7,3392.95,3391.69,3392.21,792,5,0,68.16385195831835,5.134000000000083,0.9606316892448233,buy,BULLISH,1.0,3384.509,3407.612,0.00015626474195684636,1,0.00015626474195684636,1.6103510881057395
2025-08-07 21:00:00,3392.23,3393.87,3391.39,3391.39,828,9,0,58.87850467289669,4.998500000000081,0.9539122137404635,buy,BULLISH,1.0,3383.89225,3406.3855000000003,-0.00024173031740370998,1,-0.00024173031740370998,1.6099618174260804
2025-08-07 21:15:00,3391.4,3392.34,3389.1,3389.1,869,17,0,52.76243093922663,4.919500000000085,0.9419998468137322,buy,BULLISH,1.0,3381.72075,3403.8585000000003,-0.0006752393561342274,1,-0.0006752393561342274,1.608874707845081
2025-08-07 21:30:00,3389.13,3390.92,3388.52,3389.15,847,5,0,49.72700545989058,4.782500000000073,0.9215901645662345,hold,NEUTRAL,1.0,,,1.4753179310211806e-05,1,1.4753179310211806e-05,1.6088984438621334
2025-08-07 21:45:00,3389.18,3390.1,3387.79,3388.26,813,17,0,55.352968676952855,4.451000000000067,0.8607286509901015,hold,NEUTRAL,1.0,,,-0.0002626027174954526,1,-0.0002626027174954526,1.608475942758601
2025-08-07 22:00:00,3388.25,3389.55,3387.4,3388.95,750,16,0,56.551410373065906,3.8235000000000583,0.7512673399614912,hold,NEUTRAL,1.0,,,0.0002036443484265682,1,0.0002036443484265682,1.608803499793924
2025-08-07 22:15:00,3389.02,3390.25,3388.74,3389.84,767,5,0,49.17509313464621,3.3685000000000627,0.6681145622595154,hold,NEUTRAL,1.0,,,0.0002626182150815559,1,0.0002626182150815559,1.6092260008974568
2025-08-07 22:30:00,3389.87,3399.9,3389.87,3399.66,1276,10,0,65.91720199857285,3.4495000000000573,0.6633653846153887,hold,NEUTRAL,1.0,,,0.0028968918887026796,1,0.0028968918887026796,1.6138877546465462
2025-08-07 22:45:00,3399.65,3400.74,3396.97,3399.82,1164,14,0,68.6440677966109,3.4520000000000435,0.6693295071159903,hold,NEUTRAL,1.0,,,4.70635298825961e-05,1,4.70635298825961e-05,1.6139637099011142
2025-08-07 23:00:00,3399.81,3401.08,3397.96,3400.14,935,15,0,72.41115781429153,3.445500000000038,0.6709834469328143,hold,NEUTRAL,1.0,,,9.412263002150922e-05,1,9.412263002150922e-05,1.6141156204102494
2025-08-07 23:15:00,3400.11,3401.81,3399.54,3401.16,776,14,0,73.02951064624607,3.2740000000000236,0.6419607843137233,hold,NEUTRAL,1.0,,,0.0002999876475675567,1,0.0002999876475675567,1.6145998351581183
2025-08-07 23:30:00,3401.23,3401.68,3397.05,3399.01,921,9,0,76.07003891050667,3.334500000000003,0.6850961538461476,hold,NEUTRAL,1.0,,,-0.0006321372708133488,1,-0.0006321372708133488,1.6135791864248659
2025-08-07 23:45:00,3398.95,3399.35,3392.52,3395.84,708,8,0,63.52250489236865,3.4424999999999955,0.7127624332270404,hold,NEUTRAL,1.0,,,-0.0009326244994866117,1,-0.0009326244994866117,1.6120743229437444
2025-08-08 01:00:00,3402.94,3408.84,3391.82,3394.31,572,5,0,55.40484997944948,4.167999999999983,0.8284635261379333,hold,NEUTRAL,1.0,,,-0.00045055126272153245,1,-0.00045055126272153245,1.6113480008219412
2025-08-08 01:15:00,3394.61,3394.61,3389.17,3392.98,1134,5,0,51.53203342618383,4.330499999999984,0.8584086584205401,hold,NEUTRAL,1.0,,,-0.00039183221332173,1,-0.00039183221332173,1.6107166227683476
2025-08-08 01:30:00,3393.09,3403.84,3390.81,3401.36,1140,5,0,65.24931171612171,4.827999999999998,0.9262172428346609,buy,BULLISH,1.0,3394.118,3415.844,0.002469805303892292,1,0.002469805303892292,1.6146947792263284
2025-08-08 01:45:00,3401.17,3406.59,3394.64,3405.59,1023,5,0,73.80883626913139,5.3235000000000126,0.993486861749768,buy,STRONG_BULLISH,1.0,3397.60475,3421.5605,0.0012436201989791673,1,0.0012436201989791673,1.6167028462689605
2025-08-08 02:00:00,3403.86,3406.83,3397.35,3399.85,673,17,0,63.26884920634907,5.592500000000018,1.0274287184009343,buy,BULLISH,1.0,3391.46125,3416.6275,-0.0016854641926949965,1,-0.0016854641926949965,1.6139779515113462
2025-08-08 02:15:00,3399.8,3400.64,3396.61,3397.88,749,5,0,61.61835748792267,5.554500000000007,1.0207475742428629,buy,BULLISH,1.0,3389.5482500000003,3414.5435,-0.0005794373281173826,1,-0.0005794373281173826,1.6130427524394821
2025-08-08 02:30:00,3397.93,3401.97,3396.94,3400.77,612,15,0,63.55504587155985,5.600999999999999,1.0218565277676355,buy,BULLISH,1.0,3392.3685,3417.573,0.0008505303306767242,1,0.0008505303306767242,1.61441469422511
2025-08-08 02:45:00,3400.79,3401.9,3398.52,3400.55,888,8,0,62.473794549266465,5.7065000000000055,1.044534338849021,hold,NEUTRAL,1.0,,,-6.469123169161595e-05,1,-6.469123169161595e-05,1.6143102557500797
2025-08-08 03:00:00,3400.55,3402.42,3397.75,3399.83,1294,9,0,50.251256281407144,5.816000000000008,1.0607331752690075,hold,NEUTRAL,1.0,,,-0.00021173045536759805,1,-0.00021173045536759805,1.6139684571045252
2025-08-08 03:15:00,3399.85,3400.11,3391.17,3392.06,1299,5,0,40.637065637065284,6.100999999999999,1.0988832853025867,sell,BEARISH,1.0,3401.2115,3373.757,-0.0022854083880664566,-1,0.0022854083880664566,1.6176570341544667
2025-08-08 03:30:00,3391.7,3394.23,3389.68,3394.07,1269,12,0,42.9631347090196,6.2085000000000035,1.1337241152624016,sell,BEARISH,1.0,3403.38275,3375.4445,0.0005925602731085,-1,-0.0005925602731085,1.6166984748605122
2025-08-08 03:45:00,3393.89,3395.45,3387.83,3389.93,1335,5,0,37.85945945945956,6.474000000000001,1.1674120023081298,sell,BEARISH,1.0,3399.6409999999996,3370.508,-0.00121977448903543,-1,0.00121977448903543,1.6186704824166096
